rid,start,finish,answer_duration,ip,client_type,Q1,Q1_分中心编码,Q1_分中心,Q4__1,Q5__1,Q6,Q7,Q13,Q8__1,Q8__2,Q8__3,Q8__4,Q8__5,Q8__6,Q4__1__open2,Q5__1__open2,Q8__6__open,Q9__1,Q9__2,Q10__1,Q10__2,Q11__1,Q11__2,Q12__1,Q12__2,Q4__1_题项,Q5__1_题项,Q8__1_题项,Q8__2_题项,Q8__3_题项,Q8__4_题项,Q8__5_题项,Q8__6_题项,Q6_编码本选项文本,Q7_编码本选项文本,Q13_编码本选项文本,Q9__1_编码本选项文本,Q10__1_编码本选项文本,Q11__1_编码本选项文本,Q12__1_编码本选项文本
1533626,2026-04-03 16:50:20,2026-04-15 08:58:55,11天16时8分34秒,10.2.175.24,pc,43,43,总部在线,5,4,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,很全面,出不同阶段的，比如N4-N3+备考这样的,很全面,有没有可能出一个到N3的,年龄分层合理,减少阶段或者全阶段价格低一些,灵活合理,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533628,2026-04-03 17:00:45,2026-04-08 15:37:02,4天22时36分17秒,218.27.37.98,pc,29,29,长春,5,4,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,线上1V1 的课程反馈 跟进维护学生不退费 线上学管比较难达到 需要需要学生有一定自我学习能力,,无,无,无,无,提供了教材 很贴心,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,非常及时,非常及时,,,,
1533629,2026-04-03 17:00:51,2026-04-03 18:00:37,59分45秒,124.152.246.54,pc,36,36,兰州,5,5,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,满意,对课程安排 老师授课等都比较满意,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,非常及时,比较及时,,,,
1533631,2026-04-03 17:01:56,2026-04-03 17:03:38,1分42秒,218.27.37.98,pc,29,29,长春,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,无,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533637,2026-04-03 17:13:29,2026-04-03 17:16:09,2分40秒,60.208.101.226,pc,16,16,济南,5,5,2,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,优秀,暂无,优秀,暂无,优秀,暂无,优秀,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533640,2026-04-03 17:18:59,2026-04-03 17:33:53,14分53秒,58.248.66.54,pc,6,6,广州,4,4,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,标化产品已经比较成熟，也很灵活,针对志高就是高考类的学生，没有针对高考的班，这个套餐特意区分出来就有点鸡肋。之前的高考班开不起来，在我这里转化的难度主要在上课时间不太符合在读学生的需要（晚上要上晚自习，周末双天班占用时间太多），而且高考类课程，参考常规学科的节奏，一般是暑假和春秋两个学期初意向比较多，可以收集多几个城市的需要，根据学科周期定期开展，节奏放慢一点（方便插班，也可以让在读考生更容易适配多学科学习）。另外，对于高考班，可以给年级和进度建议（对应哪个年级或者人教版哪个教材，大家转化起来会更容易把握，这点对于俄语的高考班更有必要）,都挺好的,暂无,暂无,转化量比较少，暂时未发现问题,产品已经很完善了，各种可以考虑的地方都有照顾到,暂无建议。但是这个产品我现在转化比较难的，主要是遇到这种时上课时间非常充足，对考级要求又不高的意向不多，现在不知道有什么办法可以从一些旧资源中挖掘这种意向。希望总部可以提供一些物料或者活动，协助我们去做这个事情,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533641,2026-04-03 17:19:38,2026-04-03 17:26:37,6分58秒,116.113.69.190,pc,32,32,呼和浩特,4,5,2,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,暂无意见,成班困难，且高中学生时间冲突较大,产品合理,是否可以开设集中冲刺版,市面上少有替代品,年龄段，12岁的怕幼稚，6岁怕跟不上,年卡补充兴趣学生产品,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,非常及时,比较及时,,,,
1533642,2026-04-03 17:26:11,2026-04-03 17:29:39,3分27秒,123.15.56.154,pc,9,9,郑州,5,5,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,反馈很好,认可,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533645,2026-04-03 17:33:37,2026-04-03 17:35:55,2分18秒,112.49.199.26,pc,30,30,福州,4,4,2,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,基本满足,认可,,无,无,无,无,家长反馈不错,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533646,2026-04-03 17:33:48,2026-04-13 14:58:39,9天21时24分51秒,220.205.224.216,iPhone,8,8,合肥,5,5,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,高考日语教材是否考虑差异化,标化后更有卖点/专业度/说服力,#完全教程的教材体系，对高考日语的生源来说会存在两个困难：1、和学校的教材不一致，客户端家长会觉得从文化课辅导的逻辑来说，信任度不充分；2、高考日语的学生和留学的学生目前都用这个教材，但是明显能感觉到高考日语的学生会觉得非常难，且过程测试结果会比较差，有没有更好的内容或者是测试替代；,非常好,暂无,非常好,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533649,2026-04-03 17:42:56,2026-04-03 17:44:40,1分43秒,27.191.198.125,pc,34,34,唐山,5,5,3,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,比较及时,一般,,,,
1533652,2026-04-03 17:52:02,2026-04-03 17:54:56,2分53秒,183.66.208.18,pc,3,3,重庆,5,5,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,暂无,暂无,课程学习质量提升,课时数太多了,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533653,2026-04-03 17:54:10,2026-04-03 17:56:17,2分7秒,113.204.4.90,pc,3,3,重庆,3,5,1,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,课程符合，但是市面上已经有课程+保证的对赌协议课程了,认可新东方,,无,无,好,好,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,一般,非常及时,,,,
1533659,2026-04-03 20:00:36,2026-04-03 20:02:20,1分44秒,112.49.254.63,iPhone,30,30,福州,5,4,2,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,无,无,/,/,/,/,/,/,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533664,2026-04-04 09:21:31,2026-04-04 09:25:24,3分53秒,58.255.39.18,pc,42,42,东莞,4,4,2,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,性价比高,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533665,2026-04-04 09:34:46,2026-04-04 09:37:00,2分13秒,122.227.181.106,pc,41,41,宁波,4,4,2,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,一般,比较及时,,,,
1533667,2026-04-04 09:50:34,2026-04-04 10:25:11,34分36秒,58.214.184.188,pc,28,28,无锡,4,4,2,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,如果能支持分中心考冲阶段的课程内容及练习就更完美了,,,通识+考冲的方式可以兼顾学生人头不足无法拆班的问题,考冲内容建议模块化标准化，比如：听力/语法/阅读等各项各多少课时，分别用什么讲义及练习,通识+考冲解决了因学生人头不足儿拆班难的问题,考冲内容模块化标准化（各部分课时及练习等）,课程搭配灵活，学习内容有趣,根据年龄段的不同，使用不同的教材。且希望征集学生优秀作业或成果展示的外化视频,内容丰富,内容组装的说明更清晰简洁,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,一般,比较及时,,,,
1533669,2026-04-04 11:09:26,2026-04-04 11:14:55,5分29秒,124.72.60.142,pc,13,13,厦门,4,4,3,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,我是留学顾问无法签志高,我是留学顾问无法签志高,omo都有配考前一对一20课时+外教口听10课时+协议重读，能很好的衔接住留学需出分群体。,希望追加0-N3直达的致远产品，目前日本高中只需N3程度，这部分人群较多。若能开设小于20人的小班，可能能更加贴合一些只能上线上课但担心效果的家长群体。,无签约权限,无签约权限,无签约权限,无签约权限,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,一般,不太及时,,,,
1533670,2026-04-04 12:50:17,2026-04-04 12:51:54,1分36秒,120.219.116.217,Android,9,9,郑州,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533671,2026-04-04 13:11:49,2026-04-04 13:14:48,2分58秒,27.223.21.90,pc,17,17,青岛,3,4,3,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,课时太短了,报了名的还行，没有报名的觉得课时太贵了 也太少,,没有啥表扬的,也没啥建议,没有,没有,没有,没有,没有,没有,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,不太及时,不太及时,,,,
